Activation,Tensor_Size,Mean_Proving_Time_s,Std_Dev_Prove_s,Mean_Verify_Time_s,Mean_Proof_Size_KB,Peak_RAM_MB,Compute_Node
Linear,10,9.844446897506714,0.11151681917161685,0.04467849731445313,19.7939453125,949.18359375,node1k04.ecdf.ed.ac.uk
Linear,100,9.743889045715331,0.10854440404793962,0.042803716659545896,46.6880859375,972.1171875,node1k04.ecdf.ed.ac.uk
Linear,500,9.777445363998414,0.10095562658658337,0.04585366249084473,166.2224609375,972.1171875,node1k04.ecdf.ed.ac.uk
Linear,1000,9.809223079681397,0.08196114414258406,0.05268106460571289,315.673828125,973.1875,node1k04.ecdf.ed.ac.uk
Linear,1500,9.8297709941864,0.07127323503004908,0.06206879615783691,465.066796875,973.1875,node1k04.ecdf.ed.ac.uk
Linear,2000,9.825464725494385,0.09036410644714568,0.06660027503967285,614.4326171875,976.20703125,node1k04.ecdf.ed.ac.uk
Linear,2500,19.13001446723938,0.08964284331102476,0.10711193084716797,763.858984375,1271.2265625,node1k04.ecdf.ed.ac.uk
Linear,3000,19.641183614730835,0.07005718767606248,0.12482733726501465,913.36484375,1282.8984375,node1k04.ecdf.ed.ac.uk
Linear,3500,19.344564819335936,0.15117730088473352,0.12319650650024414,1062.7416015625,1287.03515625,node1k04.ecdf.ed.ac.uk
Linear,4000,19.4164391040802,0.3138113568072354,0.1297675609588623,1212.1419921875,1313.44140625,node1k04.ecdf.ed.ac.uk
Linear,4500,37.676486015319824,0.06995923125431436,0.20968804359436036,1361.6625,1887.1953125,node1k04.ecdf.ed.ac.uk
Linear,5000,38.24536843299866,0.6343486510169472,0.2285088539123535,1510.9771484375,1898.43359375,node1k04.ecdf.ed.ac.uk
Linear,5500,38.046283102035524,0.5560235317602369,0.23125276565551758,1660.451171875,2113.5625,node1k04.ecdf.ed.ac.uk
Linear,6000,37.96978006362915,0.1880719080500705,0.23619065284729004,1809.6587890625,2113.5625,node1k04.ecdf.ed.ac.uk
Linear,6500,37.83095374107361,0.378430610029791,0.24342784881591797,1959.1978515625,2113.5625,node1k04.ecdf.ed.ac.uk
Linear,7000,37.950694704055785,0.09062366629323071,0.24401369094848632,2108.6876953125,2113.5625,node1k04.ecdf.ed.ac.uk
Linear,7500,37.81721878051758,0.21182692863258695,0.25200576782226564,2258.0701171875,2123.3203125,node1k04.ecdf.ed.ac.uk
Linear,8000,38.21055374145508,0.5276169707806482,0.26091628074645995,2407.5337890625,2124.48046875,node1k04.ecdf.ed.ac.uk
Linear,8500,73.86471357345582,0.2477726531490991,0.41456828117370603,2556.9169921875,3053.78125,node1k04.ecdf.ed.ac.uk
Linear,9000,73.896413564682,0.43591052460665647,0.42361040115356446,2706.423046875,3083.7265625,node1k04.ecdf.ed.ac.uk
Linear,9500,73.78224654197693,0.28944813025072574,0.4171437740325928,2855.685546875,3095.10546875,node1k04.ecdf.ed.ac.uk
Linear,10000,74.39351906776429,0.6476867936014276,0.4422765254974365,3005.0123046875,3095.10546875,node1k04.ecdf.ed.ac.uk
Linear,10500,74.18606948852539,0.46036628317610717,0.43346304893493653,3154.30390625,3095.10546875,node1k04.ecdf.ed.ac.uk
Linear,11000,73.8280135154724,0.4358097551181579,0.44471096992492676,3303.8798828125,3095.10546875,node1k04.ecdf.ed.ac.uk
Linear,11500,74.51101069450378,0.8836661525020543,0.46604280471801757,3453.126171875,3095.10546875,node1k04.ecdf.ed.ac.uk
Linear,12000,73.89507179260254,0.25748996558173826,0.46233506202697755,3602.667578125,3135.3046875,node1k04.ecdf.ed.ac.uk
Linear,12500,74.51414070129394,0.5767921564010372,0.4762402057647705,3752.1708984375,3177.421875,node1k04.ecdf.ed.ac.uk
Linear,13000,74.25578813552856,0.7463801600791986,0.47767930030822753,3901.609375,3186.84765625,node1k04.ecdf.ed.ac.uk
Linear,13500,74.20404772758484,0.15806212203654904,0.48831887245178224,4051.01015625,3188.81640625,node1k04.ecdf.ed.ac.uk
Linear,14000,74.85738601684571,0.7616486417385333,0.489687442779541,4200.5568359375,3196.140625,node1k04.ecdf.ed.ac.uk
Linear,14500,74.15083584785461,0.16672745256265792,0.5080928325653076,4349.933984375,3196.140625,node1k04.ecdf.ed.ac.uk
Linear,15000,74.69050636291504,0.28857362564947564,0.5260064601898193,4499.4548828125,3196.140625,node1k04.ecdf.ed.ac.uk
Linear,15500,74.39227199554443,0.17070842153614926,0.52745680809021,4648.81953125,3201.58203125,node1k04.ecdf.ed.ac.uk
Linear,16000,74.08916549682617,0.36906569909387676,0.5219055652618408,4798.165234375,3201.58984375,node1k04.ecdf.ed.ac.uk
Linear,16500,74.82531323432923,1.1939504620885688,0.5409656047821045,4947.38828125,3201.58984375,node1k04.ecdf.ed.ac.uk
Linear,17000,145.47726130485535,0.22395375065345835,0.8265261173248291,5096.8068359375,5446.828125,node1k04.ecdf.ed.ac.uk
Linear,17500,145.25501527786255,0.22618489751480556,0.840161657333374,5246.2626953125,5467.42578125,node1k04.ecdf.ed.ac.uk
Linear,18000,145.99395389556884,0.7080375717500952,0.8582033157348633,5395.4974609375,5483.421875,node1k04.ecdf.ed.ac.uk
Linear,18500,147.18484635353087,1.0346036976915138,0.8900304317474366,5545.23046875,5483.421875,node1k04.ecdf.ed.ac.uk
Linear,19000,146.84054222106934,0.47670148435792753,0.8677124500274658,5694.44609375,5489.5703125,node1k04.ecdf.ed.ac.uk
Linear,19500,147.6898448944092,1.7622050914716385,0.8708877563476562,5843.8619140625,5495.15625,node1k04.ecdf.ed.ac.uk
Linear,20000,148.49844646453857,1.632876094657017,0.9107635974884033,5993.4099609375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,10,9.583485651016236,0.040920310318019265,0.038417482376098634,19.8056640625,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,100,9.605176973342896,0.04452275651077094,0.03965892791748047,46.6837890625,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,500,9.640958547592163,0.07132790019670815,0.04871377944946289,166.2025390625,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,1000,9.720164060592651,0.06058330116546353,0.05283112525939941,315.628515625,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,1500,19.00076127052307,0.058587368479919855,0.0968238353729248,465.0572265625,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,2000,19.176369762420656,0.11413268848730504,0.10435347557067871,614.473046875,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,2500,18.951738929748537,0.11159632264322009,0.11256966590881348,763.9240234375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,3000,37.788744115829466,0.1220073637534903,0.2056950092315674,913.303515625,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,3500,37.10315079689026,0.170152573016506,0.20261020660400392,1062.678125,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,4000,37.36091113090515,0.23986103432662192,0.21243033409118653,1212.1767578125,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,4500,37.49851293563843,0.25006797157228583,0.21153125762939454,1361.568359375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,5000,37.28840398788452,0.16084320546976125,0.22213492393493653,1511.0357421875,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,5500,37.16310272216797,0.1311865136761298,0.22536373138427734,1660.287890625,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,6000,73.4319682598114,0.654171063436512,0.3975040435791016,1809.523828125,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,6500,72.96578130722045,0.20098891900174223,0.39549717903137205,1959.17421875,5496.49609375,node1k04.ecdf.ed.ac.uk
