logrows,domain_size,domain_fft_work,num_rows,row_utilization,total_assignments,num_inner_cols,total_const_size,lookup_span,lookup_log_size,required_lookup_types,required_range_checks,num_dynamic_lookups,total_dynamic_col_size,num_shuffles,total_shuffle_col_size,model_type,parameter_size,actual_proving_time
17,131072,2228224,121812,0.929351806640625,243624,2,898,0,0,0,2,0,0,512,2048,MiniCNN,8,62.27283239364624
18,262144,4718592,239060,0.9119415283203125,478120,2,864,0,0,0,2,0,0,1024,4096,MiniCNN,16,108.8700556755066
19,524288,9961472,356308,0.6796035766601562,712616,2,953,0,0,0,2,0,0,1536,6144,MiniCNN,24,153.16926908493042
19,524288,9961472,473604,0.9033279418945312,947208,2,1071,0,0,0,2,0,0,2048,8192,MiniCNN,32,218.5610797405243
20,1048576,20971520,590960,0.5635833740234375,1181920,2,1172,0,0,0,2,0,0,2560,10240,MiniCNN,40,249.3032078742981
20,1048576,20971520,708316,0.6755027770996094,1416632,2,1322,0,0,0,2,0,0,3072,12288,MiniCNN,48,295.1453447341919
20,1048576,20971520,825672,0.7874221801757812,1651344,2,1432,0,0,0,2,0,0,3584,14336,MiniCNN,56,339.49370431900024
20,1048576,20971520,943028,0.8993415832519531,1886056,2,1543,0,0,0,2,0,0,4096,16384,MiniCNN,64,396.5105111598969
18,262144,4718592,222242,0.8477859497070312,444484,2,2177,92218,17,2,3,0,0,64,1024,TransformerBlock,16,276.7318925857544
19,524288,9961472,372770,0.7110023498535156,745540,2,3155,69086,17,2,3,0,0,64,1024,TransformerBlock,32,417.8316543102264
