model_type,parameter_size,trial,logrows,proving_time,peak_ram_mb,proof_size_mb
Linear,500,1,17,29.015048027038574,0.06383514404296875,0.08688831329345703
Linear,500,2,17,30.332951068878174,0.06383514404296875,0.08687400817871094
Linear,500,3,17,29.474080085754395,0.06383514404296875,0.08687973022460938
Linear,500,4,17,30.6111741065979,0.06383514404296875,0.08689212799072266
Linear,500,5,17,30.430168390274048,0.06383514404296875,0.08690929412841797
Linear,1000,1,17,30.812843322753906,0.12153244018554688,0.1572418212890625
Linear,1000,2,17,26.765342473983765,0.12153244018554688,0.1572732925415039
Linear,1000,3,17,26.41497564315796,0.12153244018554688,0.15723133087158203
Linear,1000,4,17,26.281124114990234,0.12153244018554688,0.1572284698486328
Linear,1000,5,17,27.7484188079834,0.12153244018554688,0.15722084045410156
Linear,1500,1,17,30.346591472625732,0.179229736328125,0.22763347625732422
Linear,1500,2,17,30.773735761642456,0.179229736328125,0.22748947143554688
Linear,1500,3,17,31.154590606689453,0.179229736328125,0.2275981903076172
Linear,1500,4,17,30.86448359489441,0.179229736328125,0.22751426696777344
Linear,1500,5,17,29.45358896255493,0.179229736328125,0.22761917114257812
Linear,2000,1,17,30.48483920097351,0.23692703247070312,0.29787731170654297
Linear,2000,2,17,30.302388191223145,0.23692703247070312,0.29778003692626953
Linear,2000,3,17,31.042584657669067,0.23692703247070312,0.2979097366333008
Linear,2000,4,17,31.337315320968628,0.23692703247070312,0.2979249954223633
Linear,2000,5,17,31.243402242660522,0.23692703247070312,0.29790782928466797
Linear,2500,1,17,31.306809663772583,0.29462432861328125,0.3681488037109375
Linear,2500,2,17,30.024009943008423,0.29462432861328125,0.3682889938354492
Linear,2500,3,17,30.362086057662964,0.29462432861328125,0.3682231903076172
Linear,2500,4,17,31.698142528533936,0.29462432861328125,0.3681449890136719
Linear,2500,5,17,32.74542951583862,0.29462432861328125,0.3683624267578125
Linear,3000,1,17,30.919140100479126,0.3523216247558594,0.43848705291748047
Linear,3000,2,17,30.975414514541626,0.3523216247558594,0.43866825103759766
Linear,3000,3,17,31.528918743133545,0.3523216247558594,0.4386005401611328
Linear,3000,4,17,30.606273651123047,0.3523216247558594,0.43860626220703125
Linear,3000,5,17,31.01561713218689,0.3523216247558594,0.438507080078125
Linear,3500,1,17,30.547250032424927,0.4100189208984375,0.5086545944213867
Linear,3500,2,17,31.132011651992798,0.4100189208984375,0.5087318420410156
Linear,3500,3,17,33.154768228530884,0.4100189208984375,0.5089426040649414
Linear,3500,4,17,31.724291563034058,0.4100189208984375,0.5088634490966797
Linear,3500,5,17,32.0420458316803,0.4100189208984375,0.5088710784912109
Linear,4000,1,17,54.14238119125366,0.4720497131347656,0.5908975601196289
Linear,4000,2,17,55.21285700798035,0.4720497131347656,0.5909948348999023
Linear,4000,3,17,54.73925447463989,0.4720497131347656,0.5911664962768555
Linear,4000,4,17,55.763487100601196,0.4720497131347656,0.5910282135009766
Linear,4000,5,17,54.88132858276367,0.4720497131347656,0.5911226272583008
Linear,4500,1,17,53.3528311252594,0.5297470092773438,0.6615619659423828
