Configuration             | Bits  | True Accuracy (%)
-------------------------------------------------------
Model A                   | 16    | 97.16%
Model A                   | 12    | 96.54%
Model A                   | 8     | 96.51%
Model A                   | 6     | 63.25%
Model A                   | 4     | 19.62%
Model B                   | 16    | 97.83%
Model B                   | 12    | 97.71%
Model B                   | 8     | 89.85%
Model B                   | 6     | 68.48%
Model B                   | 4     | 32.10%
Model C                   | 16    | 97.08%
Model C                   | 12    | 97.10%
Model C                   | 8     | 96.29%
Model C                   | 6     | 93.25%
Model C                   | 4     | 60.26%
Model D                   | 16    | 97.73%
Model D                   | 12    | 97.53%
Model D                   | 8     | 91.50%
Model D                   | 6     | 47.10%
Model D                   | 4     | 16.73%
Model E                   | 16    | 97.22%
Model E                   | 12    | 97.22%
Model E                   | 8     | 94.62%
Model E                   | 6     | 74.45%
Model E                   | 4     | 10.14%
Model F                   | 16    | 97.44%
Model F                   | 12    | 97.50%
Model F                   | 8     | 96.34%
Model F                   | 6     | 77.35%
Model F                   | 4     | 20.83%
Model G                   | 16    | 98.02%
Model G                   | 12    | 98.03%
Model G                   | 8     | 92.81%
Model G                   | 6     | 64.52%
Model G                   | 4     | 35.42%
Model H                   | 16    | 96.18%
Model H                   | 12    | 96.14%
Model H                   | 8     | 93.62%
Model H                   | 6     | 71.39%
Model H                   | 4     | 14.16%
